Resume_ID,ML_Prediction_KFold,ML_Probability_KFold,S-BERT_Similarity,TF-IDF_Jaccard_Combined,True_Label
676,1,1.0,0.3463573,0.03129278424066771,1
867,1,1.0,0.38592303,0.016320505252264,1
669,1,1.0,0.34195155,0.03445464728469018,1
2272,1,1.0,0.38058633,0.003721742014872283,1
887,1,1.0,0.29692,0.017900265429318822,1
2103,1,1.0,0.3805864,0.003721742014872283,1
2067,1,1.0,0.33021674,0.01253420845371403,1
701,1,1.0,0.32886934,0.008706896437144474,1
629,1,1.0,0.44980252,0.028263280059696996,1
894,1,1.0,0.31848228,0.02996902906392248,1
2162,1,1.0,0.38028982,0.010451922932679734,1
722,1,1.0,0.29692,0.017900265429318822,1
620,1,1.0,0.3463573,0.03129278424066771,1
615,1,1.0,0.44980252,0.028263280059696996,1
1743,1,1.0,0.37376514,0.0053660968847930104,1
1834,1,1.0,0.37376514,0.0053660968847930104,1
1327,1,1.0,0.4505216,0.02431446081099038,1
685,1,1.0,0.44980252,0.028263280059696996,1
618,1,1.0,0.31848228,0.02996902906392248,1
2164,1,1.0,0.33021674,0.01253420845371403,1
672,1,1.0,0.45335346,0.0216083287768746,1
895,1,1.0,0.4990071,0.05544793656632755,1
2283,1,1.0,0.33021674,0.01253420845371403,1
643,1,1.0,0.38592303,0.016320505252264,1
886,1,1.0,0.29692,0.017900265429318822,1
2182,1,1.0,0.38028982,0.010451922932679734,1
674,1,1.0,0.31848228,0.02996902906392248,1
876,1,1.0,0.41400385,0.02076075651006317,1
671,1,1.0,0.45335346,0.0216083287768746,1
865,1,1.0,0.32886934,0.008706896437144474,1
652,1,1.0,0.4140038,0.02076075651006317,1
638,1,1.0,0.54768974,0.04321962691730214,1
641,1,1.0,0.32886934,0.008706896437144474,1
686,1,1.0,0.3796733,0.02203067693400978,1
694,1,1.0,0.54768974,0.04321962691730214,1
675,1,1.0,0.4990071,0.05544793656632755,1
630,1,1.0,0.3796733,0.02203067693400978,1
631,1,1.0,0.3796733,0.02203067693400978,1
1683,1,1.0,0.35049206,0.015643030441322238,1
2153,1,1.0,0.38058633,0.003721742014872283,1
1639,1,1.0,0.35049206,0.015643030441322238,1
703,1,1.0,0.38592303,0.016320505252264,1
2112,1,1.0,0.38028982,0.010451922932679734,1
859,1,1.0,0.5476897,0.04321962691730214,1
667,1,1.0,0.45335343,0.0216083287768746,1
1589,1,1.0,0.35049206,0.015643030441322238,1
2065,1,1.0,0.3805864,0.003721742014872283,1
2281,1,1.0,0.38028982,0.010451922932679734,1
1360,1,1.0,0.3374356,0.013721428294247958,1
782,1,1.0,0.34222668,0.030595030626584162,1
616,1,1.0,0.3796733,0.02203067693400978,1
664,1,1.0,0.34195155,0.03445464728469018,1
1843,1,1.0,0.37376514,0.0053660968847930104,1
2184,1,1.0,0.33021674,0.01253420845371403,1
892,1,1.0,0.45335343,0.0216083287768746,1
661,1,1.0,0.29692,0.017900265429318822,1
712,1,1.0,0.41400385,0.02076075651006317,1
896,1,1.0,0.3463573,0.03129278424066771,1
619,1,1.0,0.4990071,0.05544793656632755,1
890,1,1.0,0.34195155,0.03445464728469018,1
749,1,1.0,0.54175866,0.048775714047933176,1
2114,1,1.0,0.33021674,0.01253420845371403,1
653,1,0.99,0.29966226,0.029652373159643645,1
1887,1,0.99,0.39836854,0.03393793447132716,1
2171,1,0.99,0.34889024,0.007934819463155695,1
877,1,0.99,0.29966226,0.029652373159643645,1
634,1,0.99,0.38286746,0.029608402432735943,1
679,1,0.99,0.35764986,0.0296742632734335,1
657,1,0.99,0.49748933,0.06965391533102376,1
854,1,0.99,0.32630473,0.01870085751136023,1
689,1,0.99,0.32630473,0.01870085751136023,1
2166,1,0.99,0.38713008,0.005215946722689489,1
2239,1,0.99,0.34889024,0.007934819463155695,1
864,1,0.99,0.37945,0.013333424988434772,1
716,1,0.99,0.49748933,0.06965391533102376,1
2186,1,0.99,0.38713008,0.005215946722689489,1
683,1,0.99,0.31300545,0.018996383655474285,1
1562,1,0.99,0.41430923,0.020106648212246003,1
637,1,0.99,0.38595992,0.04172088089605594,1
613,1,0.99,0.31300545,0.018996383655474285,1
2070,1,0.99,0.34889024,0.007934819463155695,1
726,1,0.99,0.3383579,0.029658238983296434,1
623,1,0.99,0.35764986,0.0296742632734335,1
855,1,0.99,0.38286746,0.029608402432735943,1
2120,1,0.99,0.34889024,0.007934819463155695,1
898,1,0.99,0.35764986,0.0296742632734335,1
627,1,0.99,0.31300545,0.018996383655474285,1
1569,1,0.99,0.30602556,0.015587277283857075,1
718,1,0.99,0.34093285,0.029634949704339615,1
658,1,0.99,0.34093285,0.029634949704339615,1
690,1,0.99,0.38286746,0.029608402432735943,1
858,1,0.99,0.38595992,0.04172088089605594,1
