Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,CV_Mean,CV_Std
Random Forest,0.8176229508196722,0.8113117429330867,0.8176229508196722,0.8114671591302975,0.8677033298054222,0.8160744966883074,0.013064474632911422
Decision Tree,0.7725409836065574,0.7739897687250624,0.7725409836065574,0.7732346000020062,0.7274892127330457,0.753068397927733,0.013987777944699013
Gradient Boosting,0.7725409836065574,0.7604728070229075,0.7725409836065574,0.7612768591102403,0.8411524057640642,0.7945648895009508,0.010887611229056434
KNN,0.7602459016393442,0.7543308409183669,0.7602459016393442,0.75670584086378,0.7620797036554587,0.7525555774149124,0.01187693228019455
SVM,0.7581967213114754,0.7509023528325485,0.7581967213114754,0.7175545375779567,0.7473744199299844,0.7592274903272346,0.005570952789104488
Logistic Regression,0.7520491803278688,0.7368890851153683,0.7520491803278688,0.7155721146307183,0.7224212325978994,0.750009836710604,0.010578661181176514
Naive Bayes,0.7213114754098361,0.6921821205089758,0.7213114754098361,0.6912575581226927,0.6809004314906781,0.7213102498524494,0.0055235324790038915
