Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,CV_Mean,CV_Std
Random Forest,1.0,1.0,1.0,1.0,1.0,0.96,0.03741657386773941
Logistic Regression,0.9772727272727273,1.0,0.9230769230769231,0.96,0.9975186104218362,0.97,0.024494897427831803
SVM,0.9545454545454546,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9826302729528535,0.9800000000000001,0.024494897427831803
Naive Bayes,0.9545454545454546,1.0,0.8461538461538461,0.9166666666666666,0.967741935483871,0.9700000000000001,0.039999999999999994
Gradient Boosting,0.9318181818181818,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.9950372208436725,0.9199999999999999,0.024494897427831747
Decision Tree,0.9318181818181818,1.0,0.7692307692307693,0.8695652173913043,0.8846153846153846,0.95,0.031622776601683784
KNN,0.9090909090909091,0.9090909090909091,0.7692307692307693,0.8333333333333334,0.9888337468982631,0.9400000000000001,0.037416573867739396
