Model,Accuracy_Mean,Accuracy_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std,ROC_AUC_Mean,ROC_AUC_Std
Random Forest,0.8258196721311475,0.007331370418032055,0.7577306356641832,0.025709024770523406,0.6140670760510155,0.023406711875770713,0.6777112003513306,0.012758140536322583,0.8548487952260896,0.01534645832578682
Gradient Boosting,0.7987704918032786,0.010400473393811087,0.738646777048839,0.02839864329156358,0.5055266887104393,0.031615109333266375,0.5994365538501902,0.024883884463864216,0.8160718441562278,0.022236490378132183
SVM,0.7594262295081966,0.009127482562016436,0.7439335301171922,0.045800623574065696,0.2967028814359943,0.009018386865665973,0.4240865827252652,0.016078719835395553,0.7262958257793785,0.028126042590713055
Logistic Regression,0.7487704918032787,0.014697066456591064,0.6851723014119341,0.06478867564679654,0.29391591875295225,0.025422773334091105,0.41106209045492204,0.03476240347799468,0.7289844603861815,0.01563137546358068
Naive Bayes,0.725,0.016259700348260152,0.5744489947877885,0.05087353724909263,0.3132640529050543,0.03431537272265429,0.4041594041004579,0.034539745182380024,0.6801153989250454,0.02506097781360907
